Date,IA confirmed cumulative,ID confirmed cumulative,IA deaths cumulative,ID deaths cumulative,IA confirmed,ID confirmed,IA deaths,ID deaths
22-01-20,0,0,0,0,0,0,0,0
23-01-20,0,0,0,0,0,0,0,0
24-01-20,0,0,0,0,0,0,0,0
25-01-20,0,0,0,0,0,0,0,0
26-01-20,0,0,0,0,0,0,0,0
27-01-20,0,0,0,0,0,0,0,0
28-01-20,0,0,0,0,0,0,0,0
29-01-20,0,0,0,0,0,0,0,0
30-01-20,0,0,0,0,0,0,0,0
31-01-20,0,0,0,0,0,0,0,0
01-02-20,0,0,0,0,0,0,0,0
02-02-20,0,0,0,0,0,0,0,0
03-02-20,0,0,0,0,0,0,0,0
04-02-20,0,0,0,0,0,0,0,0
05-02-20,0,0,0,0,0,0,0,0
06-02-20,0,0,0,0,0,0,0,0
07-02-20,0,0,0,0,0,0,0,0
08-02-20,0,0,0,0,0,0,0,0
09-02-20,0,0,0,0,0,0,0,0
10-02-20,0,0,0,0,0,0,0,0
11-02-20,0,0,0,0,0,0,0,0
12-02-20,0,0,0,0,0,0,0,0
13-02-20,0,0,0,0,0,0,0,0
14-02-20,0,0,0,0,0,0,0,0
15-02-20,0,0,0,0,0,0,0,0
16-02-20,0,0,0,0,0,0,0,0
17-02-20,0,0,0,0,0,0,0,0
18-02-20,0,0,0,0,0,0,0,0
19-02-20,0,0,0,0,0,0,0,0
20-02-20,0,0,0,0,0,0,0,0
21-02-20,0,0,0,0,0,0,0,0
22-02-20,0,0,0,0,0,0,0,0
23-02-20,0,0,0,0,0,0,0,0
24-02-20,0,0,0,0,0,0,0,0
25-02-20,0,0,0,0,0,0,0,0
26-02-20,0,0,0,0,0,0,0,0
27-02-20,0,0,0,0,0,0,0,0
28-02-20,0,0,0,0,0,0,0,0
29-02-20,0,0,0,0,0,0,0,0
01-03-20,0,0,0,0,0,0,0,0
02-03-20,0,0,0,0,0,0,0,0
03-03-20,0,0,0,0,0,0,0,0
04-03-20,0,0,0,0,0,0,0,0
05-03-20,0,0,0,0,0,0,0,0
06-03-20,0,0,0,0,0,0,0,0
07-03-20,0,0,0,0,0,0,0,0
08-03-20,0,0,0,0,0,0,0,0
09-03-20,8,0,0,0,8,0,0,0
10-03-20,14,0,0,0,6,0,0,0
11-03-20,14,0,0,0,0,0,0,0
12-03-20,16,0,0,0,2,0,0,0
13-03-20,17,0,0,0,1,0,0,0
14-03-20,18,4,0,0,1,4,0,0
15-03-20,18,4,0,0,0,0,0,0
16-03-20,23,4,0,0,5,0,0,0
17-03-20,29,7,0,0,6,3,0,0
18-03-20,38,11,0,0,9,4,0,0
19-03-20,44,23,0,0,6,12,0,0
20-03-20,44,31,0,0,0,8,0,0
21-03-20,68,41,0,0,24,10,0,0
22-03-20,90,45,0,0,22,4,0,0
23-03-20,104,50,0,0,14,5,0,0
24-03-20,122,73,1,0,18,23,1,0
25-03-20,145,122,1,0,23,49,0,0
26-03-20,179,189,1,3,34,67,0,3
27-03-20,234,233,3,4,55,44,2,1
28-03-20,298,265,3,5,64,32,0,1
29-03-20,336,314,4,6,38,49,1,1
30-03-20,424,415,6,7,88,101,2,1
31-03-20,496,525,7,9,72,110,1,2
01-04-20,548,668,9,9,52,143,2,0
02-04-20,614,889,11,9,66,221,2,0
03-04-20,699,1011,11,10,85,122,0,1
04-04-20,785,1076,11,10,86,65,0,0
05-04-20,868,1100,17,10,83,24,6,0
06-04-20,945,1169,25,12,77,69,8,2
07-04-20,1048,1210,26,14,103,41,1,2
08-04-20,1145,1232,27,17,97,22,1,3
09-04-20,1270,1353,27,23,125,121,0,6
10-04-20,1388,1396,31,25,118,43,4,2
11-04-20,1509,1407,34,27,121,11,3,2
12-04-20,1585,1425,41,27,76,18,7,0
13-04-20,1709,1453,41,33,124,28,0,6
14-04-20,1896,1464,43,39,187,11,2,6
15-04-20,1994,1587,53,41,98,123,10,2
16-04-20,2141,1609,60,41,147,22,7,0
17-04-20,2332,1655,64,43,191,46,4,2
18-04-20,2508,1668,74,44,176,13,10,1
19-04-20,2900,1672,75,45,392,4,1,1
20-04-20,3153,1736,79,48,253,64,4,3
21-04-20,3634,1766,83,51,481,30,4,3
22-04-20,3744,1800,90,54,110,34,7,3
23-04-20,3921,1831,96,54,177,31,6,0
24-04-20,4442,1864,107,54,521,33,11,0
25-04-20,5087,1885,112,56,645,21,5,2
