Date,Confirmed cases cumulative,Confirmed cases
1/22/20,1,0
1/23/20,1,0
1/24/20,2,1
1/25/20,2,0
1/26/20,5,3
1/27/20,6,1
1/28/20,6,0
1/29/20,7,1
1/30/20,7,0
1/31/20,8,1
2/1/20,9,1
2/2/20,9,0
2/3/20,11,2
2/4/20,11,0
2/5/20,11,0
2/6/20,11,0
2/7/20,11,0
2/8/20,11,0
2/9/20,11,0
2/10/20,11,0
2/11/20,12,1
2/12/20,12,0
2/13/20,13,1
2/14/20,13,0
2/15/20,13,0
2/16/20,13,0
2/17/20,13,0
2/18/20,14,1
2/19/20,14,0
2/20/20,14,0
2/21/20,17,3
2/22/20,17,0
2/23/20,17,0
2/24/20,18,1
2/25/20,18,0
2/26/20,20,2
2/27/20,21,1
2/28/20,23,2
2/29/20,34,11
3/1/20,40,6
3/2/20,62,22
3/3/20,81,19
3/4/20,116,35
3/5/20,182,66
3/6/20,231,49
3/7/20,376,145
3/8/20,492,116
3/9/20,751,259
3/10/20,1036,285
3/11/20,1339,303
3/12/20,1736,397
3/13/20,2316,580
3/14/20,2968,652
3/15/20,3769,801
3/16/20,4731,962
3/17/20,6302,1571
3/18/20,9214,2912
3/19/20,14236,5022
3/20/20,19152,4916
3/21/20,26469,7317
3/22/20,33756,7287
3/23/20,43869,10113
3/24/20,53888,10019
3/25/20,68586,14698
3/26/20,85075,16489
3/27/20,102595,17520
3/28/20,122987,20392
3/29/20,141754,18767
3/30/20,163705,21951
3/31/20,186750,23045
4/1/20,213136,26386
4/2/20,241856,28720
4/3/20,277060,35204
4/4/20,310740,33680
4/5/20,335452,24712
4/6/20,365306,29854
4/7/20,395591,30285
4/8/20,428205,32614
4/9/20,462049,33844
4/10/20,495196,33147
4/11/20,526272,31076
4/12/20,553526,27254
4/13/20,578455,24929
4/14/20,603829,25374
4/15/20,633949,30120
4/16/20,666499,32550
4/17/20,697434,30935
4/18/20,725173,27739
4/19/20,750294,25121
4/20/20,776787,26493
4/21/20,802274,25487
4/22/20,831049,28775
4/23/20,862704,31655
4/24/20,900097,37393
4/25/20,934065,33968
4/26/20,959548,25483
4/27/20,982311,22763
4/28/20,1006417,24106
4/29/20,1034338,27921
4/30/20,1063314,28976
5/1/20,1096406,33092
5/2/20,1126378,29972
5/3/20,1151544,25166
5/4/20,1173202,21658
5/5/20,1197324,24122
5/6/20,1220975,23651
5/7/20,1248587,27612
5/8/20,1275974,27387
5/9/20,1301552,25578
5/10/20,1321677,20125
5/11/20,1339458,17781
5/12/20,1360931,21473
5/13/20,1381593,20662
5/14/20,1408360,26767
5/15/20,1433267,24907
5/16/20,1457778,24511
5/17/20,1476296,18518
5/18/20,1497932,21636
5/19/20,1518530,20598
5/20/20,1540613,22083
5/21/20,1566571,25958
5/22/20,1589930,23359
5/23/20,1612184,22254
5/24/20,1632864,20680
5/25/20,1651945,19081
5/26/20,1669906,17961
5/27/20,1689953,20047
5/28/20,1712451,22498
5/29/20,1737431,24980
5/30/20,1760416,22985
5/31/20,1779260,18844
6/1/20,1800592,21332
6/2/20,1821073,20481
6/3/20,1840539,19466
6/4/20,1862314,21775
6/5/20,1891065,28751
6/6/20,1913966,22901
6/7/20,1931935,17969
6/8/20,1948917,16982
6/9/20,1967494,18577
6/10/20,1987936,20442
6/11/20,2010456,22520
6/12/20,2036160,25704
6/13/20,2061887,25727
6/14/20,2082351,20464
6/15/20,2100930,18579
6/16/20,2125432,24502
6/17/20,2149873,24441
6/18/20,2177044,27171
6/19/20,2207982,30938
6/20/20,2239703,31721
6/21/20,2266567,26864
6/22/20,2295941,29374
6/23/20,2330885,34944
6/24/20,2366293,35408
6/25/20,2405377,39084
6/26/20,2451186,45809
6/27/20,2493452,42266
6/28/20,2532801,39349
6/29/20,2572466,39665
6/30/20,2618817,46351
7/1/20,2668305,49488
7/2/20,2723612,55307
7/3/20,2777448,53836
7/4/20,2822664,45216
7/5/20,2864216,41552
7/6/20,2918437,54221
7/7/20,2973992,55555
7/8/20,3031883,57891
7/9/20,3094776,62893
7/10/20,3164414,69638
7/11/20,3224982,60568
7/12/20,3283122,58140
7/13/20,3340013,56891
7/14/20,3408994,68981
7/15/20,3475150,66156
7/16/20,3551465,76315
7/17/20,3620819,69354
7/18/20,3687023,66204
7/19/20,3747379,60356
7/20/20,3804518,57139
7/21/20,3871366,66848
7/22/20,3938876,67510
7/23/20,4006971,68095
7/24/20,4080745,73774
7/25/20,4145882,65137
7/26/20,4202591,56709
7/27/20,4259226,56635
7/28/20,4322289,63063
7/29/20,4398971,76682
7/30/20,4457572,58601
7/31/20,4527542,69970
8/1/20,4587301,59759
8/2/20,4623301,36000
8/3/20,4680711,57410
8/4/20,4732988,52277
8/5/20,4786596,53608
8/6/20,4843011,56415
8/7/20,4903623,60612
8/8/20,4957906,54283
8/9/20,5005217,47311
8/10/20,5048035,42818
8/11/20,5104558,56523
8/12/20,5158587,54029
8/13/20,5210837,52250
8/14/20,5268157,57320
8/15/20,5318880,50723
8/16/20,5357045,38165
8/17/20,5397990,40945
8/18/20,5439453,41463
8/19/20,5484694,45241
8/20/20,5527967,43273
8/21/20,5575867,47900
8/22/20,5620591,44724
8/23/20,5652983,32392
8/24/20,5690346,37363
8/25/20,5728727,38381
8/26/20,5774225,45498
8/27/20,5820085,45860
8/28/20,5865041,44956
8/29/20,5908557,43516
8/30/20,5941846,33289
8/31/20,5977636,35790
9/1/20,6020629,42993
9/2/20,6060334,39705
9/3/20,6102225,41891
9/4/20,6151910,49685
9/5/20,6196355,44445
9/6/20,6226496,30141
9/7/20,6253047,26551
9/8/20,6277310,24263
9/9/20,6311680,34370
9/10/20,6347016,35336
9/11/20,6393473,46457
9/12/20,6432042,38569
9/13/20,6466472,34430
9/14/20,6501352,34880
9/15/20,6536004,34652
9/16/20,6583732,47728
9/17/20,6627664,43932
9/18/20,6675922,48258
9/19/20,6719512,43590
9/20/20,6754321,34809
9/21/20,6792786,38465
9/22/20,6841366,48580
9/23/20,6879960,38594
9/24/20,6925183,45223
9/25/20,6980039,54856
9/26/20,7022376,42337
9/27/20,7060496,38120
9/28/20,7092989,32493
9/29/20,7130045,37056
9/30/20,7174914,44869
10/1/20,7221687,46773
10/2/20,7269425,47738
10/3/20,7321403,51978
10/4/20,7357744,36341
10/5/20,7394576,36832
10/6/20,7435335,40759
10/7/20,7485138,49803
10/8/20,7542798,57660
10/9/20,7599648,56850
10/10/20,7657074,57426
10/11/20,7695396,38322
10/12/20,7738657,43261
10/13/20,7788954,50297
10/14/20,7847869,58915
10/15/20,7914517,66648
10/16/20,7978149,63632
10/17/20,8038285,60136
10/18/20,8083896,45611
10/19/20,8143113,59217
10/20/20,8202847,59734
10/21/20,8263362,60515
10/22/20,8342968,79606
10/23/20,8425184,82216
10/24/20,8478790,53606
10/25/20,8557636,78846
10/26/20,8626060,68424
10/27/20,8697287,71227
10/28/20,8775801,78514
10/29/20,8865201,89400
10/30/20,8961598,96397
10/31/20,9035243,73645
11/1/20,9118009,82766
11/2/20,9203942,85933
11/3/20,9295911,91969
11/4/20,9403745,107834
11/5/20,9521735,117990
11/6/20,9654105,132370
11/7/20,9767526,113421
11/8/20,9872576,105050
11/9/20,10000553,127977
11/10/20,10139528,138975
11/11/20,10286991,147463
11/12/20,10432149,145158
11/13/20,10614020,181871
11/14/20,10778874,164854
11/15/20,10911221,132347
11/16/20,11065416,154195
11/17/20,11208404,142988
11/18/20,11370414,162010
11/19/20,11562786,192372
11/20/20,11736854,174068
11/21/20,11944551,207697
11/22/20,12082392,137841
11/23/20,12252783,170391
11/24/20,12424880,172097
11/25/20,12609876,184996
11/26/20,12719235,109359
11/27/20,12900683,181448
11/28/20,13076285,175602
11/29/20,13192648,116363
11/30/20,13348064,155416
12/1/20,13532616,184552
12/2/20,13735218,202602
12/3/20,13942292,207074
12/4/20,14163963,221671
12/5/20,14371429,207466
12/6/20,14531341,159912
12/7/20,14732772,201431
12/8/20,14955162,222390
12/9/20,15179428,224266
12/10/20,15391690,212262
12/11/20,15627575,235885
12/12/20,15833404,205829
12/13/20,16004328,170924
12/14/20,16210091,205763
12/15/20,16403191,193100
12/16/20,16630624,227433
12/17/20,16869599,238975
12/18/20,17102601,233002
12/19/20,17286515,183914
12/20/20,17451328,164813
12/21/20,17818508,367180
12/22/20,17993301,174793
12/23/20,18222988,229687
12/24/20,18405019,182031
