Date,Closing Price,Change
10/1/13,123.655,0
10/2/13,125.455,1.8
10/3/13,108.585,-16.87
10/4/13,118.675,10.09
10/5/13,121.339,2.664
10/6/13,120.655,-0.684
10/7/13,121.795,1.14
10/8/13,123.033,1.238
10/9/13,124.049,1.016
10/10/13,125.961,1.912
10/11/13,125.28,-0.681
10/12/13,125.928,0.648
10/13/13,126.383,0.455
10/14/13,135.242,8.859
10/15/13,133.203,-2.039
10/16/13,142.763,9.56
10/17/13,137.923,-4.84
10/18/13,142.952,5.029
10/19/13,152.552,9.6
10/20/13,160.339,7.787
10/21/13,164.315,3.976
10/22/13,177.633,13.318
10/23/13,188.297,10.664
10/24/13,200.702,12.405
10/25/13,180.355,-20.347
10/26/13,175.032,-5.323
10/27/13,177.697,2.665
10/28/13,187.16,9.463
10/29/13,192.757,5.597
10/30/13,197.4,4.643
10/31/13,196.025,-1.375
11/1/13,198.049,2.024
11/2/13,198.932,0.883
11/3/13,200.543,1.611
11/4/13,210.308,9.765
11/5/13,225.02,14.712
11/6/13,248.253,23.233
11/7/13,262.327,14.074
11/8/13,294.487,32.16
11/9/13,331.103,36.616
11/10/13,285.888,-45.215
11/11/13,304.98,19.092
11/12/13,338.137,33.157
11/13/13,357.48,19.343
11/14/13,402.954,45.474
11/15/13,409.104,6.15
11/16/13,420.216,11.112
11/17/13,437.297,17.081
11/18/13,510.603,73.306
11/19/13,693.65,183.047
11/20/13,531.542,-162.108
11/21/13,574.716,43.174
11/22/13,681.33,106.614
11/23/13,774.18,92.85
11/24/13,746.194,-27.986
11/25/13,768.848,22.654
11/26/13,789.365,20.517
11/27/13,893.182,103.817
11/28/13,934.355,41.173
11/29/13,1068.363,134.008
11/30/13,1154.926,86.563
12/1/13,1099.519,-55.407
12/2/13,1019.79,-79.729
12/3/13,1028.845,9.055
12/4/13,1071.285,42.44
12/5/13,1139.331,68.046
12/6/13,1004.616,-134.715
12/7/13,759.43,-245.186
12/8/13,689.81,-69.62
12/9/13,841.84,152.03
12/10/13,916.776,74.936
12/11/13,967.429,50.653
12/12/13,866.29,-101.139
12/13/13,911.232,44.942
12/14/13,889.819,-21.413
12/15/13,848.998,-40.821
12/16/13,868.953,19.955
12/17/13,653.805,-215.148
12/18/13,654.063,0.258
12/19/13,553.692,-100.371
12/20/13,693.059,139.367
12/21/13,649.39,-43.669
12/22/13,595.959,-53.431
12/23/13,647.683,51.724
12/24/13,671.581,23.898
12/25/13,659.843,-11.738
12/26/13,702.001,42.158
12/27/13,758.01,56.009
12/28/13,734.012,-23.998
12/29/13,717.926,-16.086
12/30/13,752.82,34.894
12/31/13,744.172,-8.648
1/1/14,768.408,24.236
1/2/14,769.098,0.69
1/3/14,804.027,34.929
1/4/14,813.317,9.29
1/5/14,871.116,57.799
1/6/14,970.651,99.535
1/7/14,962.464,-8.187
1/8/14,855.759,-106.705
1/9/14,860.842,5.083
1/10/14,847.533,-13.309
1/11/14,892.261,44.728
1/12/14,916.697,24.436
1/13/14,873.272,-43.425
1/14/14,863.699,-9.573
1/15/14,853.257,-10.442
1/16/14,874.074,20.817
1/17/14,842.192,-31.882
1/18/14,834.867,-7.325
1/19/14,838.429,3.562
1/20/14,881.876,43.447
1/21/14,873.289,-8.587
1/22/14,874.133,0.844
1/23/14,864.561,-9.572
1/24/14,838.15,-26.411
1/25/14,834.574,-3.576
1/26/14,858.126,23.552
1/27/14,887.083,28.957
1/28/14,830.531,-56.552
1/29/14,832.895,2.364
1/30/14,832.874,-0.021
1/31/14,841.489,8.615
2/1/14,847.364,5.875
2/2/14,854.723,7.359
2/3/14,856.034,1.311
2/4/14,847.707,-8.327
2/5/14,844.288,-3.419
2/6/14,802.753,-41.535
2/7/14,748.436,-54.317
2/8/14,692.669,-55.767
2/9/14,668.865,-23.804
2/10/14,700.448,31.583
2/11/14,694.313,-6.135
2/12/14,665.798,-28.515
2/13/14,645.615,-20.183
2/14/14,578.413,-67.202
2/15/14,641.91,63.497
2/16/14,656.273,14.363
2/17/14,611.045,-45.228
2/18/14,634.99,23.945
2/19/14,618.79,-16.2
2/20/14,619.843,1.053
2/21/14,545.763,-74.08
2/22/14,561.535,15.772
2/23/14,622.22,60.685
2/24/14,572.768,-49.452
2/25/14,501.155,-71.613
2/26/14,550.603,49.448
2/27/14,573.103,22.5
2/28/14,567.293,-5.81
3/1/14,551.73,-15.563
3/2/14,560.195,8.465
3/3/14,567.7,7.505
3/4/14,666.148,98.448
3/5/14,660.84,-5.308
3/6/14,662.023,1.183
3/7/14,651.285,-10.738
3/8/14,612.33,-38.955
3/9/14,611.163,-1.167
3/10/14,637.615,26.452
3/11/14,626,-11.615
3/12/14,633.747,7.747
3/13/14,631.755,-1.992
3/14/14,636.414,4.659
3/15/14,628.188,-8.226
3/16/14,632.953,4.765
3/17/14,630.348,-2.605
3/18/14,617.243,-13.105
3/19/14,616.867,-0.376
3/20/14,601.015,-15.852
3/21/14,581.333,-19.682
3/22/14,570.362,-10.971
3/23/14,562.953,-7.409
3/24/14,557.168,-5.785
3/25/14,573.35,16.182
3/26/14,572.492,-0.858
3/27/14,570.548,-1.944
3/28/14,509.707,-60.841
3/29/14,499.25,-10.457
3/30/14,486.808,-12.442
3/31/14,472.478,-14.33
4/1/14,464.88,-7.598
4/2/14,480.166,15.286
4/3/14,427.875,-52.291
4/4/14,432.997,5.122
4/5/14,453.871,20.874
4/6/14,462.445,8.574
4/7/14,456.469,-5.976
4/8/14,452.81,-3.659
4/9/14,450.481,-2.329
4/10/14,426.983,-23.498
4/11/14,374.592,-52.391
4/12/14,438.247,63.655
4/13/14,423.516,-14.731
4/14/14,409.032,-14.484
4/15/14,455.283,46.251
4/16/14,517.097,61.814
4/17/14,522.455,5.358
4/18/14,490.879,-31.576
4/19/14,469.383,-21.496
4/20/14,507.807,38.424
4/21/14,505.097,-2.71
4/22/14,497.65,-7.447
4/23/14,487.84,-9.81
4/24/14,487.113,-0.727
4/25/14,469.088,-18.025
4/26/14,448.778,-20.31
4/27/14,452.148,3.37
4/28/14,426.782,-25.366
4/29/14,432.605,5.823
4/30/14,444.857,12.252
5/1/14,454.557,9.7
5/2/14,453.598,-0.959
5/3/14,441.978,-11.62
5/4/14,438.29,-3.688
5/5/14,432.787,-5.503
5/6/14,418.618,-14.169
5/7/14,428.426,9.808
5/8/14,442.577,14.151
5/9/14,439.04,-3.537
5/10/14,449.043,10.003
5/11/14,449.742,0.699
5/12/14,434.27,-15.472
5/13/14,437,2.73
5/14/14,438.88,1.88
5/15/14,445.045,6.165
5/16/14,443.18,-1.865
5/17/14,445.607,2.427
5/18/14,445.157,-0.45
5/19/14,444.738,-0.419
5/20/14,455.653,10.915
5/21/14,489.87,34.217
5/22/14,490.187,0.317
5/23/14,522.31,32.123
5/24/14,512.308,-10.002
5/25/14,533.93,21.622
5/26/14,579.593,45.663
5/27/14,581.51,1.917
5/28/14,572.448,-9.062
5/29/14,562.4,-10.048
5/30/14,571.845,9.445
5/31/14,612.127,40.282
6/1/14,638.163,26.036
6/2/14,634.983,-3.18
6/3/14,660.247,25.264
6/4/14,627.798,-32.449
6/5/14,642.892,15.094
6/6/14,652.527,9.635
6/7/14,648.602,-3.925
6/8/14,652.592,3.99
6/9/14,652.11,-0.482
6/10/14,644.085,-8.025
6/11/14,642.007,-2.078
6/12/14,632.55,-9.457
6/13/14,585.483,-47.067
6/14/14,588.523,3.04
6/15/14,570.288,-18.235
6/16/14,589.067,18.779
6/17/14,592.257,3.19
6/18/14,610.413,18.156
6/19/14,601.887,-8.526
6/20/14,594.093,-7.794
6/21/14,582.045,-12.048
6/22/14,599.57,17.525
6/23/14,592.405,-7.165
6/24/14,584.642,-7.763
6/25/14,575.905,-8.737
6/26/14,571.767,-4.138
6/27/14,582.432,10.665
6/28/14,597.668,15.236
6/29/14,598.733,1.065
6/30/14,597.513,-1.22
7/1/14,647.122,49.609
7/2/14,637.856,-9.266
7/3/14,642.651,4.795
7/4/14,643.951,1.3
7/5/14,628.416,-15.535
7/6/14,631.03,2.614
7/7/14,631.299,0.269
7/8/14,621.242,-10.057
7/9/14,620.72,-0.522
7/10/14,621.308,0.588
7/11/14,616.831,-4.477
7/12/14,634.357,17.526
7/13/14,627.69,-6.667
7/14/14,621.425,-6.265
7/15/14,618.739,-2.686
7/16/14,619.808,1.069
7/17/14,614.689,-5.119
7/18/14,623.497,8.808
7/19/14,623.996,0.499
7/20/14,623.006,-0.99
7/21/14,617.961,-5.045
7/22/14,622.107,4.146
7/23/14,618.448,-3.659
7/24/14,617.688,-0.76
7/25/14,602.931,-14.757
7/26/14,597.585,-5.346
7/27/14,592.964,-4.621
7/28/14,580.11,-12.854
7/29/14,585.449,5.339
7/30/14,580.518,-4.931
7/31/14,564.57,-15.948
8/1/14,583.39,18.82
8/2/14,593.806,10.416
8/3/14,581.52,-12.286
8/4/14,585.801,4.281
8/5/14,582.334,-3.467
8/6/14,582.521,0.187
8/7/14,583.624,1.103
8/8/14,595.809,12.185
8/9/14,585.396,-10.413
8/10/14,586.059,0.663
8/11/14,588.753,2.694
8/12/14,566.316,-22.437
8/13/14,565.551,-0.765
8/14/14,534.54,-31.011
8/15/14,511.473,-23.067
8/16/14,487.566,-23.907
8/17/14,516.626,29.06
8/18/14,489.468,-27.158
8/19/14,455.916,-33.552
8/20/14,472.91,16.994
8/21/14,519.015,46.105
8/22/14,508.129,-10.886
8/23/14,507.51,-0.619
8/24/14,501.631,-5.879
8/25/14,503.321,1.69
8/26/14,504.626,1.305
8/27/14,513.391,8.765
8/28/14,514.624,1.233
8/29/14,506.025,-8.599
8/30/14,504.706,-1.319
8/31/14,502.055,-2.651
9/1/14,474.543,-27.512
9/2/14,477.984,3.441
9/3/14,476.884,-1.1
9/4/14,475.65,-1.234
9/5/14,485.651,10.001
9/6/14,480.908,-4.743
9/7/14,481.884,0.976
9/8/14,473.586,-8.298
9/9/14,468.578,-5.008
9/10/14,474.291,5.713
9/11/14,479.418,5.127
9/12/14,473.673,-5.745
9/13/14,471.533,-2.14
9/14/14,475.379,3.846
9/15/14,475.021,-0.358
9/16/14,471.084,-3.937
9/17/14,464.554,-6.53
9/18/14,449.959,-14.595
9/19/14,425.448,-24.511
9/20/14,410.08,-15.368
9/21/14,405.796,-4.284
9/22/14,399.098,-6.698
9/23/14,399.503,0.405
9/24/14,427.813,28.31
9/25/14,416.12,-11.693
9/26/14,410.15,-5.97
9/27/14,403.498,-6.652
9/28/14,398.84,-4.658
9/29/14,377.979,-20.861
9/30/14,376.084,-1.895
10/1/14,387.94,11.856
10/2/14,381.748,-6.192
10/3/14,372.058,-9.69
10/4/14,360.753,-11.305
10/5/14,335.981,-24.772
10/6/14,308.079,-27.902
10/7/14,337.234,29.155
10/8/14,326.233,-11.001
10/9/14,351.346,25.113
10/10/14,368.596,17.25
10/11/14,359.203,-9.393
10/12/14,356.999,-2.204
10/13/14,371.156,14.157
10/14/14,392.783,21.627
10/15/14,396.346,3.563
10/16/14,392.566,-3.78
10/17/14,376.269,-16.297
10/18/14,378.675,2.406
10/19/14,390.959,12.284
10/20/14,381.724,-9.235
10/21/14,380.058,-1.666
10/22/14,382.939,2.881
10/23/14,376.59,-6.349
10/24/14,351.783,-24.807
10/25/14,353.633,1.85
10/26/14,345.193,-8.44
10/27/14,350.978,5.785
10/28/14,349.796,-1.182
10/29/14,348.903,-0.893
10/30/14,335.536,-13.367
